Bank,Tweet Number,Tweet Date,Week,Quarter,gcp_score,Google Trend,Competitor1,Competitor2,Competitor3,Competitor4,ROA,ROS,Operating Income to Sales,Opearting Income to Assets,Operating Expenses to Sales,Cost of Goods to Sales,"Selling, General and Administrative Expenses to Sales"
Scotia,135,9/19/2012,47,4,-0.600000024,86,82,77,89,82,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,136,9/19/2012,47,4,0,86,82,77,89,82,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,137,9/19/2012,47,4,-0.200000003,86,82,77,89,82,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,138,9/25/2012,48,4,0.600000024,89,82,81,92,82,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,139,9/26/2012,48,4,0.300000012,89,82,81,92,82,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,140,9/29/2012,48,4,0,89,82,81,92,82,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,141,9/29/2012,48,4,0.200000003,89,82,81,92,82,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,142,10/1/2012,49,4,-0.600000024,94,85,84,98,87,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,143,10/2/2012,49,4,-0.800000012,94,85,84,98,87,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,144,10/3/2012,49,4,0.100000001,94,85,84,98,87,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,145,10/3/2012,49,4,-0.400000006,94,85,84,98,87,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,146,10/4/2012,49,4,-0.800000012,94,85,84,98,87,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,147,10/4/2012,49,4,0,94,85,84,98,87,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,148,10/5/2012,49,4,0.200000003,94,85,84,98,87,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,149,10/5/2012,49,4,-0.200000003,94,85,84,98,87,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,150,10/6/2012,49,4,0.300000012,94,85,84,98,87,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,151,10/7/2012,49,4,0,94,85,84,98,87,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,152,10/10/2012,50,4,0,88,78,75,81,77,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,153,10/12/2012,50,4,0,88,78,75,81,77,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,154,10/12/2012,50,4,-0.300000012,88,78,75,81,77,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,155,10/12/2012,50,4,-0.899999976,88,78,75,81,77,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,156,10/13/2012,50,4,0.600000024,88,78,75,81,77,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,157,10/13/2012,50,4,-0.100000001,88,78,75,81,77,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,158,10/14/2012,50,4,-0.699999988,88,78,75,81,77,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,159,10/15/2012,51,4,-0.800000012,94,77,78,84,82,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,160,10/15/2012,51,4,0,94,77,78,84,82,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,161,10/15/2012,51,4,-0.100000001,94,77,78,84,82,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,162,10/15/2012,51,4,-0.699999988,94,77,78,84,82,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,163,10/15/2012,51,4,0,94,77,78,84,82,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,164,10/16/2012,51,4,0.600000024,94,77,78,84,82,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,165,10/16/2012,51,4,0.600000024,94,77,78,84,82,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,166,10/16/2012,51,4,0.699999988,94,77,78,84,82,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,167,10/16/2012,51,4,0.800000012,94,77,78,84,82,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,168,10/16/2012,51,4,0.600000024,94,77,78,84,82,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,169,10/16/2012,51,4,0,94,77,78,84,82,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,170,10/16/2012,51,4,-0.100000001,94,77,78,84,82,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,171,10/16/2012,51,4,0.200000003,94,77,78,84,82,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,172,10/16/2012,51,4,-0.100000001,94,77,78,84,82,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,173,10/16/2012,51,4,0.100000001,94,77,78,84,82,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,174,10/16/2012,51,4,-0.400000006,94,77,78,84,82,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,175,10/16/2012,51,4,0,94,77,78,84,82,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,176,10/16/2012,51,4,0.600000024,94,77,78,84,82,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
